web-scraper-order,web-scraper-start-url,articles_links,articles_links-href,marque,prix,adresse,image_lien-src
"1716726032-1","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=4","Location d'une citroen c4","https://www.dakarvente.com/annonce-437-location-d-une-citroen-c4.html","Location d'une citroen c4","20.000  FCFA","Plateau","media/annonces/pics/a86bdb3107f5ddda48690f79dac478e3.jpg"
"1716726058-2","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=4","Location de voitures et mini bus avec chauffeur","https://www.dakarvente.com/annonce-648-location-de-voitures-et-mini-bus-avec-chauffeur.html","Location de voitures et mini bus avec chauffeur","50.000  FCFA","Plateau","media/annonces/pics/baf6b26075945f9226489851936d8d65.jpg"
"1716726084-3","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=4","Sen service location loue des voiture des marques","https://www.dakarvente.com/annonce-702-sen-service-location-loue-des-voiture-des-marques.html","Sen service location loue des voiture des marques","30.000  FCFA","Plateau","media/annonces/pics/15ea8355bee0950e2b7f50a9ad50b086.jpg"
"1716726110-4","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=4","Toyota yaris sedan","https://www.dakarvente.com/annonce-1233-toyota-yaris-sedan.html","Toyota yaris sedan","20.000  FCFA","Plateau","media/annonces/pics/2edb1d489a6de9f9c188533b89c779ca.jpg"
"1716726136-5","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=4","Nissan juke","https://www.dakarvente.com/annonce-1377-nissane-juke.html","Nissan juke","50.000  FCFA","Plateau","media/annonces/pics/efc3fa21f902e1e8691a6d23e14eb5d8.jpg"
"1716726162-6","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=4","Location de voiture cobalt","https://www.dakarvente.com/annonce-1302-location-de-voiture-cobalt.html","Location de voiture cobalt","25.000  FCFA","Plateau","media/annonces/pics/b8beb78f2536162ef279fa99eb2c6e15.jpg"
"1716726188-7","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=4","Toyota sequoia v8 a louer","https://www.dakarvente.com/annonce-2070-toyota-sequoia-v8-a-louer.html","Toyota sequoia v8 a louer","100.000  FCFA","Plateau","media/annonces/pics/516fe4d4d1e6c03dbbf60241d5bbeeaa.jpg"
"1716726214-8","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=4","loue voiture toutes marque à partir de 25 000 cfa","https://www.dakarvente.com/annonce-2301-loue-voiture-toutes-marque-partir-de-25-000-cfa.html","loue voiture toutes marque à partir de 25 000 cfa","30.000  FCFA","Ouest Foire","media/annonces/pics/238760a28f9060a5d01fcf5ecd260e2a.png"
"1716726241-9","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=4","Location  nissan juke","https://www.dakarvente.com/annonce-1378-location-nissan-juke.html","Location  nissan juke","50.000  FCFA","Plateau","img/nophoto.png"
"1716726268-10","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=4","Bateau à louer","https://www.dakarvente.com/annonce-3079-bateau-louer.html","Bateau à louer","90.000  FCFA","Somone","media/annonces/pics/f3fe90a0ee4bb8c0e3232774052718cf.jpg"
"1716726297-11","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=4","ORGANISEUR POUR VOITURE","https://www.dakarvente.com/annonce-3352-organiseur-pour-voiture.html","ORGANISEUR POUR VOITURE","8.500  FCFA","Dakar",""
"1716726323-12","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=4","Location véhicules","https://www.dakarvente.com/annonce-4687-location-vhicules-louer.html","Location véhicules","25.000  FCFA","Amitié","media/annonces/pics/1ac9aec248070b20d0d0d3946f417174.jpeg"
"1716726350-13","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=4","Chevrolet Equinoxe à louer","https://www.dakarvente.com/annonce-4756-darou-rakhmane-trading-location-de-chevrolet-quinoxe.html","Chevrolet Equinoxe à louer","","Nord Foire","media/annonces/pics/6bf0b7a2e5e0675b57a4494a621a14dc.jpg"
"1716726377-14","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=4","Location de Ford focus","https://www.dakarvente.com/annonce-4757-darou-rakhmane-trading-location-de-ford-focus.html","Location de Ford focus","40.000  FCFA","Nord Foire","media/annonces/pics/f4610e2a44faba5ea20348be8ba5a2a1.jpg"
"1716726403-15","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=4","DAROU RAKHMANE TRADING location de voiture","https://www.dakarvente.com/annonce-4877-darou-rakhmane-trading-location-de-voiture.html","DAROU RAKHMANE TRADING location de voiture","","Nord Foire","media/annonces/pics/7bbfd3970eafb46aaf154b7f021356e0.jpg"
"1716726430-16","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=4","4 x 4 Renault Dacia Duster à louer","https://www.dakarvente.com/annonce-4939-4-x-4-renault-dacia-duster-a-louer.html","4 x 4 Renault Dacia Duster à louer","30.000  FCFA","Somone","media/annonces/pics/1aa7d676885c15f13d36da9cead952d6.jpg"
"1716726456-17","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=4","Subaru legacy limited","https://www.dakarvente.com/annonce-5219-subaru-legacy-limited.html","Subaru legacy limited","35.000  FCFA","Liberté 6","media/annonces/pics/cf3f36c6a79591ac9ec54acc4187548c.jpg"
"1716726483-18","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=4","location de voitures","https://www.dakarvente.com/annonce-5312-location-de-voiture.html","location de voitures","","Point E","media/annonces/pics/d09b712935a513fca5eac54716e8dda3.jpg"
"1716726510-19","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=4","VENTE DE VOITURES","https://www.dakarvente.com/annonce-5313-vente-de-voitures.html","VENTE DE VOITURES","","Point E","media/annonces/pics/0202bca751d63fde1fab79a4ce8c77a1.jpg"
"1716726537-20","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=4","Location de voitures toutes marques","https://www.dakarvente.com/annonce-5637-l-occasion-de-voiture-tout-marque.html","Location de voitures toutes marques","","Grand Dakar","media/annonces/pics/69231b06b7cd2f4addd38131c6a9cc70.jpg"
"1716726564-21","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=4","location de voiture","https://www.dakarvente.com/annonce-5671-location-de-voiture.html","location de voiture","","Point E","media/annonces/pics/03873d968751937dd0b6f20804410f2b.jpg"
"1716726590-22","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=4","LOCATION VOITURE  DIESEL LUXUEUSE ET CLIMATISÉE","https://www.dakarvente.com/annonce-5907-location-voiture-diesel-luxueuse-et-climatise.html","LOCATION VOITURE  DIESEL LUXUEUSE ET CLIMATISÉE","35.000  FCFA","Dakar","media/annonces/pics/624efc0ffb019e8d814d8accfea490f3.jpeg"
